Feature,Importance
CoursePrice,1.4444278041749994
PriceBand,0.016655528876299605
RatingTier,0.001977531150928809
CourseLevel,0.00014104405540782405
YearsOfExperience,9.089142714318784e-05
Expertise,5.325975825750303e-06
ExperienceBucket,0.0
CourseDuration,-4.686116289442932e-06
ExpertiseMatch,-2.1047442626627906e-05
DurationBucket,-0.0003927224829933721
LevelEncoded,-0.00047666420032991635
CourseCategory,-0.0014673519928500745
CourseType,-0.0015767073169476674
CourseRating,-0.0016988279926425784
